2024-09-22 09:54:58,887 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Configure stats pid to 12237
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Loading settings from /data/ephemeral/home/.config/wandb/settings
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Loading settings from /data/ephemeral/home/level1-semantictextsimilarity-nlp-04/wandb/settings
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/data/ephemeral/home/level1-semantictextsimilarity-nlp-04/train.py', 'program': '/data/ephemeral/home/level1-semantictextsimilarity-nlp-04/train.py'}
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_init.py:_log_setup():532] Logging user logs to /data/ephemeral/home/level1-semantictextsimilarity-nlp-04/wandb/run-20240922_095458-7gbiu6vy/logs/debug.log
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_init.py:_log_setup():533] Logging internal logs to /data/ephemeral/home/level1-semantictextsimilarity-nlp-04/wandb/run-20240922_095458-7gbiu6vy/logs/debug-internal.log
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_init.py:init():616] calling init triggers
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'learning_rate': '2e-4', 'batch_size': 128, 'epoch': 10}
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_init.py:init():666] starting backend
2024-09-22 09:54:58,888 INFO    MainThread:12237 [wandb_init.py:init():670] setting up manager
2024-09-22 09:54:58,889 INFO    MainThread:12237 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-22 09:54:58,890 INFO    MainThread:12237 [wandb_init.py:init():678] backend started and connected
2024-09-22 09:54:58,892 INFO    MainThread:12237 [wandb_init.py:init():773] updated telemetry
2024-09-22 09:54:58,896 INFO    MainThread:12237 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-22 09:54:59,408 INFO    MainThread:12237 [wandb_init.py:init():857] starting run threads in backend
2024-09-22 09:54:59,508 INFO    MainThread:12237 [wandb_run.py:_console_start():2459] atexit reg
2024-09-22 09:54:59,508 INFO    MainThread:12237 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-22 09:54:59,508 INFO    MainThread:12237 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-22 09:54:59,508 INFO    MainThread:12237 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-22 09:54:59,510 INFO    MainThread:12237 [wandb_init.py:init():900] run started, returning control to user process
2024-09-22 09:54:59,703 WARNING MsgRouterThr:12237 [router.py:message_loop():77] message_loop has been closed
